Permit_Number,Permit_Address,Street_Name,Cross_Street_1,Cross_Street_2,Permit_ZipCode,Applicant,Permit_Purpose,Permit_Approval_Date,Permit_End_Date,Permit_Status,X,Y,Latitude,Longitude,cnn,envista_project_id,envista_project_name_full,envista_facility_type,envista_start_date,envista_end_date,envista_description,envista_moratoriums_opportunities,envista_facility_indicator,envista_facility_subindicator,envista_project_type,envista_location_type,envista_intermediate_location_text,Location
16PKT-0054,262 DIVISADERO ST,DIVISADERO ST,HAIGHT ST,PAGE ST,94117,Repose Coffee Bar and Gallery,Parklet,6/27/2016,8/15/2017,APPROVED,6001873.01636,2109185.67204,37.771527449986,-122.436906435278,4799201,16PKT-0054,Parklet at Repose Coffee Bar and Gallery,Roadway,6/27/2016,8/15/2017,262 DIVISADERO ST,No Excavation,Parking,Sidewalks,Maintenance,Point,"262 DIVISADERO ST, San Francisco, CA 94117","(37.771527449986, -122.436906435278)"
17PKT-0001,423 COLUMBUS AVE,COLUMBUS AVE,VALLEJO ST,GREEN ST \ STOCKTON ST,94133,CAFFE' GRECO,Parklet,1/17/2017,2/15/2018,APPROVED,6010289.04546,2118999.33253,37.7989481680788,-122.408487162809,4294000,17PKT-0001,Parklet at CAFFE' GRECO,Roadway,1/17/2017,2/15/2018,423 COLUMBUS AVE,No Excavation,Parking,Sidewalks,Maintenance,Point,"423 COLUMBUS AVE, San Francisco, CA 94133","(37.7989481680788, -122.408487162809)"
17PKT-0002,3434 BALBOA ST,BALBOA ST,35TH AVE,36TH AVE,94121,SIMPLE PLEASURES CAFÉ,Parklet,1/19/2017,2/15/2018,APPROVED,5984886.07308,2111149.1633,37.7759385201735,-122.49580918509,2680000,17PKT-0002,Parklet at SIMPLE PLEASURES CAFÉ,Roadway,1/19/2017,2/15/2018,3434 BALBOA ST,No Excavation,Parking,Sidewalks,Maintenance,Point,"3434 BALBOA ST, San Francisco, CA 94121","(37.7759385201735, -122.49580918509)"
17PKT-0004,2001 POLK ST,PACIFIC AVE,POLK ST,VAN NESS AVE,94109,Cheese Plus,Parklet,1/20/2017,2/15/2018,APPROVED,6006425.0696,2117735.31996,37.7952603590802,-122.421767991747,10147000,17PKT-0004,Parklet at Cheese Plus,Roadway,1/20/2017,2/15/2018,2001 POLK ST,No Excavation,Parking,Sidewalks,Maintenance,Point,"2001 POLK ST, San Francisco, CA 94109","(37.7952603590802, -122.421767991747)"
17PKT-0005,2410 CALIFORNIA ST,CALIFORNIA ST,FILLMORE ST,STEINER ST,94115,"Pizzeria Due, LLC dba: Delfina",Parklet,1/20/2017,2/15/2018,APPROVED,6002732.53958,2115520.04684,37.7889688677795,-122.434386260392,3558000,17PKT-0005,"Parklet at Pizzeria Due, LLC dba: Delfina",Roadway,1/20/2017,2/15/2018,2410 CALIFORNIA ST,No Excavation,Parking,Sidewalks,Maintenance,Point,"2410 CALIFORNIA ST, San Francisco, CA 94115","(37.7889688677795, -122.434386260392)"
17PKT-0007,436 BALBOA ST,BALBOA ST,05TH AVE,06TH AVE,94118,CINDERELLA BAKERY INC.,Parklet,1/23/2017,2/15/2018,APPROVED,5994172.80673,2111474.38044,37.7773709746424,-122.463707816523,2649000,17PKT-0007,Parklet at CINDERELLA BAKERY INC.,Roadway,1/23/2017,2/15/2018,436 BALBOA ST,No Excavation,Parking,Sidewalks,Maintenance,Point,"436 BALBOA ST, San Francisco, CA 94118","(37.7773709746424, -122.463707816523)"
17PKT-0006,988 VALENCIA ST,VALENCIA ST,LIBERTY ST,21ST ST,94110,Blue Fig Cafe,Parklet,1/23/2017,2/15/2018,APPROVED,6006263.20225,2103863.99585,37.7571639251618,-122.421342540038,13068000,17PKT-0006,Parklet at Blue Fig Cafe,Roadway,1/23/2017,2/15/2018,988 VALENCIA ST,No Excavation,Parking,Sidewalks,Maintenance,Point,"988 VALENCIA ST, San Francisco, CA 94110","(37.7571639251618, -122.421342540038)"
17PKT-0008,533 JONES ST,JONES ST,OFARRELL ST,GEARY ST,94102,Usama Shahbaz and Ali Amin dba Karachi Chicken,Parklet,1/25/2017,2/15/2018,APPROVED,6008819.27478,2114416.55889,37.786282572627,-122.413248829754,7570000,17PKT-0008,Parklet at Usama Shahbaz and Ali Amin dba Karachi Chicken,Roadway,1/25/2017,2/15/2018,533 JONES ST,No Excavation,Parking,Sidewalks,Maintenance,Point,"533 JONES ST, San Francisco, CA 94102","(37.786282572627, -122.413248829754)"
17PKT-0009,1722 TARAVAL ST,TARAVAL ST,27TH AVE,28TH AVE,94116,"Rolling Out, Inc.",Parklet,1/27/2017,2/15/2018,APPROVED,5987845.00645,2099020.24484,37.7428086566312,-122.484683675488,12403000,17PKT-0009,"Parklet at Rolling Out, Inc.",Roadway,1/27/2017,2/15/2018,1722 TARAVAL ST,No Excavation,Parking,Sidewalks,Maintenance,Point,"1722 TARAVAL ST, San Francisco, CA 94116","(37.7428086566312, -122.484683675488)"
17PKT-0012,1331 09TH AVE,09TH AVE,IRVING ST,JUDAH ST,94122,ARIZMENDI BAKERY - 9TH AVE,Parklet,1/30/2017,2/15/2018,APPROVED,5993275.5631,2106407.37117,37.7634065728777,-122.466443284387,432000,17PKT-0012,Parklet at ARIZMENDI BAKERY - 9TH AVE,Roadway,1/30/2017,2/15/2018,1331 09TH AVE,No Excavation,Parking,Sidewalks,Maintenance,Point,"1331 09TH AVE, San Francisco, CA 94122","(37.7634065728777, -122.466443284387)"
